Height_cm,Weight_kg,Age,BodyFat_%,DietType,MuscleMass_kg,BMR,ExpectedFatLoss_kg_per_month,ActualFatLoss_kg_per_month
193,106,46,13.7,Keto,80.3,2041.2,1.96,1.82
173,77,28,19.2,Balanced,51.9,1716.2,1.53,1.74
157,76,19,24.4,High Protein,51.3,1651.2,1.47,1.26
175,87,29,22.2,Low Carb,54.2,1823.8,1.41,1.53
181,96,45,29.5,High Protein,55.7,1871.2,2.14,2.19
157,91,24,13.4,High Protein,63.5,1776.2,2.59,2.38
168,104,26,10.3,Low Carb,76.8,1965,0.97,0.94
161,98,25,10.7,Low Carb,78,1866.2,1.03,0.93
194,58,19,18.5,Balanced,38.8,1702.5,2.58,2.7
183,72,43,19,Balanced,49,1653.8,3.6,3
185,102,32,11.8,High Protein,73.8,2021.2,0.78,0.63
194,75,33,24.9,Balanced,48.1,1802.5,3.55,3.73
179,99,46,26,Balanced,59.1,1883.8,5.16,4.53
178,55,25,10.1,Carb Cycle,43.6,1542.5,1.61,1.33
189,89,50,22.1,Low Carb,61.9,1826.2,3.34,3.2
182,61,26,22.5,Low Carb,39.4,1622.5,1.55,1.27
177,78,54,24.6,Low Carb,50.8,1621.2,4.53,5.23
155,89,54,29.4,Carb Cycle,55.6,1593.8,4.74,3.84
168,93,44,20.5,High Protein,62.3,1765,1.3,1.34
167,105,49,22.7,Low Carb,67.5,1853.8,2.98,2.91
184,91,40,22.1,Balanced,60.5,1865,1.95,2.08
167,86,24,15.8,Carb Cycle,59.1,1788.8,3,2.79
160,82,45,14.4,Carb Cycle,59.1,1600,2.64,2.28
182,79,50,15.4,High Protein,57.8,1682.5,0.93,1.11
167,95,20,10.1,Carb Cycle,72.7,1898.8,1.2,1.36
191,87,41,28.9,Carb Cycle,51.5,1863.8,3.83,4.38
166,93,19,24.2,Carb Cycle,57.4,1877.5,4.84,4.36
156,56,45,11,Keto,41.2,1315,2.06,1.68
173,56,43,29.7,Keto,32.4,1431.2,4.58,4.22
165,71,41,19.4,Balanced,51.4,1541.2,2.25,2.28
170,87,26,16.4,Low Carb,59.5,1807.5,1.08,1.01
174,90,36,24.2,Keto,60.1,1812.5,2.64,2.99
161,106,50,18,Keto,74.1,1821.2,3.18,2.89
165,82,42,14.2,Carb Cycle,60.1,1646.2,2.23,2.65
161,70,43,29.6,Low Carb,41.9,1496.2,2.86,2.81
155,102,29,21.2,Low Carb,71.4,1848.8,1.83,2.08
189,73,33,27.9,Low Carb,46.7,1751.2,4.73,4.15
178,106,28,28.7,Balanced,66.4,2037.5,4.41,4.25
189,102,42,23.3,High Protein,62.7,1996.2,1.92,2.07
172,56,52,23,High Protein,35.4,1380,3.68,3.15
187,68,38,13.6,Balanced,49.2,1663.8,2.23,1.9
157,71,50,20.9,Carb Cycle,47.8,1446.2,3.11,3.69
176,100,47,29.5,Low Carb,59.2,1870,5.45,5.92
181,81,51,17,Keto,58.1,1691.2,2.61,2.13
187,59,36,21.4,Keto,40.6,1583.8,1.42,1.36
182,84,46,15.6,Keto,63,1752.5,2.57,2.5
191,78,46,18.6,Balanced,57,1748.8,3.62,3.97
187,106,38,13.8,Low Carb,75.5,2043.8,1.77,1.59
172,79,48,26.9,Balanced,51.6,1630,1.88,1.64
186,101,39,17.2,High Protein,69.1,1982.5,1.74,1.45
